truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text
False,"Join me in Fayetteville, North Carolina tomorrow evening at 6pm. Tickets now available at: https://t.co/Z80d4MYIg8",False,762641595439190016,12936,iphone,False,4072,False,en,Mon Aug 08 13:28:20 +0000 2016,join fayetteville north carolina tomorrow evening pm tickets available
False,"#ICYMI: ""Will Media Apologize to Trump?"" https://t.co/ia7rKBmioA",False,762439658911338496,18970,iphone,False,7991,False,en,Mon Aug 08 00:05:54 +0000 2016,icymi media apologize trump
False,"Michael Morell, the lightweight former Acting Director of C.I.A., and a man who has made serious bad calls, is a total Clinton flunky!",False,762425371874557952,24119,android,False,7647,False,en,Sun Aug 07 23:09:08 +0000 2016,michael morell lightweight former acting director c man made serious bad calls total clinton flunky
False,"The media is going crazy. They totally distort so many things on purpose. Crimea, nuclear, ""the baby"" and so much more. Very dishonest!",False,762400869858115588,40414,android,False,13580,False,en,Sun Aug 07 21:31:46 +0000 2016,media going crazy totally distort many things purpose crimea nuclear baby much dishonest
False,RT @DRUDGE_REPORT: CLINTON EMAIL LED TO EXECUTION IN IRAN? https://t.co/4rY1faptL6,False,762399410940706816,0,iphone,False,8226,False,en,Sun Aug 07 21:25:58 +0000 2016,rt @drudge report clinton email led execution iran
False,I see where Mayor Stephanie Rawlings-Blake of Baltimore is pushing Crooked hard. Look at the job she has done in Baltimore. She is a joke!,False,762284533341417472,33066,android,False,10711,False,en,Sun Aug 07 13:49:29 +0000 2016,see mayor stephanie rawlings blake baltimore pushing crooked hard look job done baltimore joke
False,"Thank you Windham, New Hampshire! #TrumpPence16 #MAGA https://t.co/ZL4Q01Q49s",False,762110918721310721,20241,iphone,False,6116,False,en,Sun Aug 07 02:19:37 +0000 2016,thank windham new hampshire trumppence maga
False,".@Larry_Kudlow - 'Donald Trump Is the middle-class growth candidate'
https://t.co/YbqkhWNm0g",False,762106904436961280,20774,iphone,False,8638,False,en,Sun Aug 07 02:03:39 +0000 2016,@larry kudlow donald trump middle class growth candidate
False,"I am not just running against Crooked Hillary Clinton, I am running against the very dishonest and totally biased media - but I will win!",False,762104411707568128,86508,android,False,28074,False,en,Sun Aug 07 01:53:45 +0000 2016,running crooked hillary clinton running dishonest totally biased media win
False,"#CrookedHillary is not fit to be our next president! #TrumpPence16 
https://t.co/I0zJO2sZKk",False,762016426102296576,24674,iphone,False,8278,False,en,Sat Aug 06 20:04:08 +0000 2016,crookedhillary fit next president trumppence
False,"Heading to New Hampshire - will be talking about Hillary saying her brain SHORT CIRCUITED, and other things!",False,761988164382756864,28795,android,False,8762,False,en,Sat Aug 06 18:11:50 +0000 2016,heading new hampshire talking hillary saying brain short circuited things
