source,created_at,is_retweet,text,clean_text,clean_text_with_stopwords
other,Wed Jul 27 02:21:08 +0000 2016,True,RT @TeddyDavisCNN: Trump pollster and senior adviser @KellyannePolls takes in Bill Clinton from the convention floor. https://t.co/k7QJ7nmr…,rt @teddydaviscnn trump pollster senior adviser @kellyannepolls takes bill clinton convention floor,rt @teddydaviscnn trump pollster and senior adviser @kellyannepolls takes in bill clinton from the convention floor
other,Wed Jul 27 00:44:21 +0000 2016,False,"Welcome to the Democrat Party. Queen of Abortion at the podium, Bernie supporters storming the media tent.  DNCinCLE",welcome democrat party queen abortion podium bernie supporters storming media tent dncincle,welcome to the democrat party queen of abortion at the podium bernie supporters storming the media tent dncincle
other,Wed Jul 27 00:40:02 +0000 2016,True,"RT @MRBenchwarmer: Distrust of Her will outweigh Distaste of Him and He will win @KellyannePolls 
Well said!😘

#DemsInPhilly #DemConvention",rt @mrbenchwarmer distrust outweigh distaste win @kellyannepolls well said demsinphilly demconvention,rt @mrbenchwarmer distrust of her will outweigh distaste of him and he will win @kellyannepolls well said demsinphilly demconvention
other,Wed Jul 27 00:39:34 +0000 2016,True,"RT @giff18: #DNC roll call time is #WADR time! @MarkHalperin &amp; @jheil have @ninaturner, @guycecil, @feldmike &amp; @KellyannePolls. https://t.c…",rt @giff dnc roll call time wadr time @markhalperin @jheil @ninaturner @guycecil @feldmike @kellyannepolls,rt @giff dnc roll call time is wadr time @markhalperin @jheil have @ninaturner @guycecil @feldmike @kellyannepolls
other,Tue Jul 26 19:21:40 +0000 2016,False,@omarosa delivers moving account of the young girls who are victims of Boko Haram  https://t.co/QlcaVA9GR7,@omarosa delivers moving account young girls victims boko haram,@omarosa delivers moving account of the young girls who are victims of boko haram
other,Tue Jul 26 05:50:09 +0000 2016,True,RT @DailyCaller: Dem Convention Transforms Women’s Restrooms Into ‘All-Gender’ Ones https://t.co/XovmIvwvQR #DemsInPhilly https://t.co/vAX7…,rt @dailycaller dem convention transforms women restrooms gender ones demsinphilly,rt @dailycaller dem convention transforms women s restrooms into all gender ones demsinphilly
other,Tue Jul 26 05:47:48 +0000 2016,False,Philly mayor made a fool of himself in interview today. Should've focused on transportation. https://t.co/MalIZoG9lv,philly mayor made fool interview today focused transportation,philly mayor made a fool of himself in interview today should ve focused on transportation
other,Tue Jul 26 05:45:44 +0000 2016,True,RT @dcexaminer: Hillary Clinton's image plummets to lowest level in 24 years https://t.co/AsUaJ8JjT0 #DNCinPHL https://t.co/j199f6ykjl,rt @dcexaminer hillary clinton image plummets lowest level years dncinphl,rt @dcexaminer hillary clinton s image plummets to lowest level in years dncinphl
other,Tue Jul 26 05:35:35 +0000 2016,True,"RT @nickconfessore: There are no signs. 
None of the volunteers know anything.
Arena ran out of water. 
Uber shut down for night. 
#thunder…",rt @nickconfessore signs none volunteers know anything arena ran water uber shut night thunder,rt @nickconfessore there are no signs none of the volunteers know anything arena ran out of water uber shut down for night thunder
other,Tue Jul 26 03:27:33 +0000 2016,False,"Mayor of Philly: instead of spewing hate speech today, how about getting your city to FUNCTION? Learn from #RNCinCLE",mayor philly instead spewing hate speech today getting city function learn rncincle,mayor of philly instead of spewing hate speech today how about getting your city to function learn from rncincle
other,Tue Jul 26 02:03:28 +0000 2016,True,RT @instapundit: 5 Reasons All hell broke loose at the Democratic National Convention: https://t.co/lGTPKwTs8I,rt @instapundit reasons hell broke loose democratic national convention,rt @instapundit reasons all hell broke loose at the democratic national convention
other,Tue Jul 26 02:01:50 +0000 2016,False,"For those fawning over @CoryBooker speech at DNC, have you seen his Newark NJ lately? Read this: https://t.co/vkjsjQ1Wl1",fawning @corybooker speech dnc seen newark nj lately read,for those fawning over @corybooker speech at dnc have you seen his newark nj lately read this
other,Tue Jul 26 01:01:21 +0000 2016,True,"RT @fackinpeter: YUGE guests on @seanhannity tonight, including:
 Trump, Rudy, and JESSY!!!!
@JessicaTarlov https://t.co/SCzWE6MIB8",rt @fackinpeter yuge guests @seanhannity tonight including trump rudy jessy @jessicatarlov,rt @fackinpeter yuge guests on @seanhannity tonight including trump rudy and jessy @jessicatarlov
other,Tue Jul 26 01:00:08 +0000 2016,True,RT @DailyCaller: Party Unity? GOP Beats Dems Hands Down According To National Report https://t.co/IsCDiidFwJ #DemsInPhilly https://t.co/t7B…,rt @dailycaller party unity gop beats dems hands according national report demsinphilly,rt @dailycaller party unity gop beats dems hands down according to national report demsinphilly
other,Tue Jul 26 00:59:10 +0000 2016,True,"RT @DrJillStein: Coming from Hillary, this may be the most disingenuous thing ever said. From Iraq ➡️ Honduras ➡️ Libya HC loves war. https…",rt @drjillstein coming hillary may disingenuous thing ever said iraq honduras libya hc loves war https,rt @drjillstein coming from hillary this may be the most disingenuous thing ever said from iraq honduras libya hc loves war https
other,Tue Jul 26 00:58:42 +0000 2016,False,Accidental senator more like it. Was sitting Governor Paterson's 3rd choice. (Caroline Kennedy bombed) https://t.co/H5cMprnfv2,accidental senator like sitting governor paterson rd choice caroline kennedy bombed,accidental senator more like it was sitting governor paterson s rd choice caroline kennedy bombed
other,Tue Jul 26 00:50:44 +0000 2016,True,"RT @alicetweet: What a class act: @donnabrazile apologizes to @BernieSanders - ""this is to him, his donors and those offended by #DNC email…",rt @alicetweet class act @donnabrazile apologizes @berniesanders donors offended dnc email,rt @alicetweet what a class act @donnabrazile apologizes to @berniesanders this is to him his donors and those offended by dnc email
other,Mon Jul 25 23:40:05 +0000 2016,False,Good luck withthat.  https://t.co/ZFO8En37Zm,good luck withthat,good luck withthat
other,Mon Jul 25 23:39:31 +0000 2016,True,RT @DailyCaller: Dallas Police Dept Sees 344 Percent Spike In Job Applications Following Shooting https://t.co/p2T5pJFIV8 https://t.co/HIy0…,rt @dailycaller dallas police dept sees percent spike job applications following shooting,rt @dailycaller dallas police dept sees percent spike in job applications following shooting
other,Mon Jul 25 23:37:27 +0000 2016,False,Popcorn Alert.  https://t.co/071Hxb1E5K,popcorn alert,popcorn alert
