source,created_at,text,is_retweet,clean_text,clean_text_with_stopwords
other,Tue Sep 06 14:25:15 +0000 2016,FACT: I voted 5 times to fund the effort against Zika. Murphy voted 2 times against funding it. https://t.co/vWX7oLjpdO,False,fact voted times fund effort zika murphy voted times funding,fact i voted times to fund the effort against zika murphy voted times against funding it
other,Sun Sep 11 00:10:24 +0000 2016,"RT @GatorsFB: #Gators win! 🐊🏈

30 in a row. #UKvsUF https://t.co/ZLCRj9rRBQ",True,rt @gatorsfb gators win row ukvsuf,rt @gatorsfb gators win in a row ukvsuf
other,Thu Feb 04 04:20:32 +0000 2016,ICYMI: @TeamMarco is on iTunes! Check out the newest episode of The Audible: https://t.co/Aw6sPQHb2w,False,icymi @teammarco itunes check newest episode audible,icymi @teammarco is on itunes check out the newest episode of the audible
other,Sat Nov 26 17:45:39 +0000 2016,"#FidelCastro ""created repressive state where his secret police &amp; pro-government mobs attacked those who dared to call for democratic change""",False,fidelcastro created repressive state secret police pro government mobs attacked dared call democratic change,fidelcastro created repressive state where his secret police pro government mobs attacked those who dared to call for democratic change
other,Fri Nov 11 04:48:46 +0000 2016,RT @CLINTHREED: #TeamMarco staff leave Miami tmw.  Thankful for their sacrifice &amp; selflessness for cause greater than themselves. To each…,True,rt @clinthreed teammarco staff leave miami tmw thankful sacrifice selflessness cause greater,rt @clinthreed teammarco staff leave miami tmw thankful for their sacrifice selflessness for cause greater than themselves to each
other,Fri May 27 18:40:42 +0000 2016,Thank you so much again! Sorry we find ourselves so divided with no easy choices. I did the best I could. https://t.co/etUYmXStVs,False,thank much sorry find divided easy choices best could,thank you so much again sorry we find ourselves so divided with no easy choices i did the best i could
other,Tue Jul 12 11:29:33 +0000 2016,13 new #Zika cases reported in #Florida https://t.co/n6UUULZmrO,False,new zika cases reported florida,new zika cases reported in florida
other,Sat Jul 30 19:26:23 +0000 2016,"Saddened by death of @autismspeaks founder Suzanne Wright, a great American &amp; friend. https://t.co/YtTI99c80h",False,saddened death @autismspeaks founder suzanne wright great american friend,saddened by death of @autismspeaks founder suzanne wright a great american friend
other,Wed Jul 20 22:00:10 +0000 2016,"I will not support a US Ambassador to Cuba as long as it's a dictatorial, closed regime. 
https://t.co/pLMoKAGYwL",False,support us ambassador cuba long dictatorial closed regime,i will not support a us ambassador to cuba as long as it s a dictatorial closed regime
other,Sun Feb 21 21:53:14 +0000 2016,Glad to have @DonnieWahlberg's support in this campaign! Welcome to the team! https://t.co/0JlelRiPMp,False,glad @donniewahlberg support campaign welcome team,glad to have @donniewahlberg s support in this campaign welcome to the team
other,Mon Feb 01 21:10:58 +0000 2016,"RT @ABCPolitics: WATCH: @marcorubio jokes his kids are ""undecided"" when they can't pick out a toy: ""Like a caucus-goer.""
https://t.co/7aBUB…",True,rt @abcpolitics watch @marcorubio jokes kids undecided pick toy like caucus goer,rt @abcpolitics watch @marcorubio jokes his kids are undecided when they can t pick out a toy like a caucus goer
other,Thu Oct 27 00:45:01 +0000 2016,"Donate NOW to celebrate a big debate WIN and help share our message all over the state.  #FLSen #FLDebate
https://t.co/0tWYXrywUi",False,donate celebrate big debate win help share message state flsen fldebate,donate now to celebrate a big debate win and help share our message all over the state flsen fldebate
other,Sat Oct 15 18:25:09 +0000 2016,RT @AndrewFinkNH: Great group of Timber Creek HS students coming out to volunteer for @marcorubio #FLSen #MillennialsForMarco #OrlandoForMa…,True,rt @andrewfinknh great group timber creek hs students coming volunteer @marcorubio flsen millennialsformarco orlandoforma,rt @andrewfinknh great group of timber creek hs students coming out to volunteer for @marcorubio flsen millennialsformarco orlandoforma
other,Fri Feb 12 18:34:18 +0000 2016,Registration for the Nevada caucuses closes TOMORROW. Make sure you're ready to caucus: https://t.co/R9WSF2BwCr #NVforMarco,False,registration nevada caucuses closes tomorrow make sure ready caucus nvformarco,registration for the nevada caucuses closes tomorrow make sure you re ready to caucus nvformarco
other,Fri Oct 07 13:00:27 +0000 2016,UPDATE: @CraigFugate @fema has positioned relief material in #CentralFlorida. Ready to respond once conditions are safe. #HurricaneMatthew,False,update @craigfugate @fema positioned relief material centralflorida ready respond conditions safe hurricanematthew,update @craigfugate @fema has positioned relief material in centralflorida ready to respond once conditions are safe hurricanematthew
other,Tue Jan 19 18:05:40 +0000 2016,RT @StudentsRubioSC: 100s of SC students are working around the clock to #EarnIt for @MarcoRubio! Watch here: https://t.co/gqgxGvc5VV https…,True,rt @studentsrubiosc sc students working around clock earnit @marcorubio watch https,rt @studentsrubiosc s of sc students are working around the clock to earnit for @marcorubio watch here https
other,Wed Sep 28 13:37:00 +0000 2016,Obama's nod of a US ambassador to Cuba should go nowhere until the Castro regime makes significant progress on human rights &amp; pol freedom,False,obama nod us ambassador cuba go nowhere castro regime makes significant progress human rights pol freedom,obama s nod of a us ambassador to cuba should go nowhere until the castro regime makes significant progress on human rights pol freedom
